,question,answer,url,label
10484,고양이 실 삼킴 고양이가 얇은 실 25센치 정도를 삼켰어요 입 안에 확인해보니까 이빨에 걸려있지도 않아서 아예 삼킨거 같아요 어떡하죠 응아로 나온다고는 하는데 실 길이가 긴거 같아서 ㅠㅠㅠ 고양이 나이는 5-6살 정도예요 ,고양이는 호기심으로 이물질을 먹고 문제가 되는 경우가 많습니다. 선상이물(실/끈)과 같은 이물질은 장폐색을 유발하여 생명까지 위협하고 최악의 경우 수술로 이어질 수 있습니다. 앞으로 실이나 끈과 같은 이물질은 먹지 못하게 주의하고 병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=383636303
",고양이/소화기질환/이물질 섭취
4203,"강아지 연속 재채기 전문가 답변 부탁드려요..  심장병 있는 아이인데요, 기침과 재채기의 차이는 알고 있습니다. 코로 킁! 하는 재채기를 어제밤부터 조금씩 하더니 오늘은 뒤척이면서 몇분에 한번씩 머리털면서 계속 하더라구요 조금 진정되면 잠자다 또 시작하면 몇번이나 해요ㅠㅠ 콧물이나 코피는 나지 않고 다른 증상은 없어요 목으오 하는 기침없고 호흡수도 정상이구요..  화식을 먹는데 밥알이나 이물질이 코로 조금 넘어간건지.. 감기걸린걸지..  오늘 동물병원이 다들 안열어서 넘 답답하네요ㅠㅜ 감기일 가능성이 클까요? 차라리 감기였으면 좋겠는데..  재채기 원인이 다양하겠지만 연속으로 계속 하는 경우엔 이물질문제일까요?  재생 0 00:00 00:00","영상만으로는 정확한 감별진단이 어려울 수 있습니다. 재채기의 원인은 여러가지가 있을 수 있으니, 그와 관련된 감별진단 검사가 필요하다면 꼭 진행해 주셔야 합니다. - 비강내 이물 - 호흡기 알러지 반응 - 치과관련 질환 - 비강 종양 - 비강내 감염 및 염증 등이 한가지 검사로 해결되는 경우는 결코 없습니다. 위의 진단결과는 다양한 검사를 전제로 합니다. 또한 질환마다 비교적 쉽고 간단한 처치로 해결되는 경우도 있으나, 복잡한 수술, 방사선 치료, 장기간 관리 등이 필요한 사례도 있습니다. 문진부터 필요한 감별진단 검사까지  꼼꼼하게 잘 살펴볼 수 있는 동물병원을 찾아보실 것을 추천드립니다. 큰 문제없이 빠르고 정확한 진단과 효과적인 처치로  근심이 해결될 수 있기를 기원합니다. 감사합니다. 안녕히 계세요.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=437562632
",강아지/호흡기질환/재채기
18617,저희 집 개가 호흡기관이 안 좋은 건가요 ㅠㅠ?? 동영상처럼 저희 집 강아지가 이상한(?) 소리를 내는데 이게 호흡기관에 문제가 있는 건가요... 정확한 진단 답변 부탁드립니다 ㅠㅠ  저희 집 개가 호흡기관이 안 좋은 건가요 ㅠㅠ?? 재생 52 00:00 00:08,강아지의 이상증상에 걱정이 많으시죠? 올려주신 동영상 만으로 어떤 질병인지 정확한게 진단하기는 어렵습니다. 가능하시면 가까운 동물병원에 가셔서 적절한 검사와 진료를 받아보시는게 현명한 방법 입니다. 강아지의 건강을 기원합니다. 감사합니다.,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=239916762
",강아지/호흡기질환/음향검사 요망
11309,[나눈질문2] 현재 16세 암컷 강아지구요.. 중성 현재 16세 암컷 강아지구요.. 중성화 수술은 안했습니다. 3년 전쯤인가 젖이 나오는 부위에 콩알만한 혹이 잡히길래 병원에 갔더니 유선종양이라고 하더라구요.. 이미 나이도 많은지라 수술은 안시키고 외관상 티도 안나고 밥도 잘먹고 잘 놀아서 차라리 수술안시키는게 좋겠다 결정했는데.. 갑자기 1년 사이에 배랑 가슴부위 전체에 엄청 단단한 종양들이 생겨났어요.. 눈으로는 뚜렷하게 보일정도는 아니지만 만져보면 단단한 혹들이 굉장히 많습니다... 어떤건 바둑알 같은 느낌이고 어떤건 바둑알 4개를 합친 크기도 있구요.. 심지어 물집이 생겨서 굳은건지 이제는 피부 까지 딱지 처럼 생긴것들이 올라오네요.. 사진 처럼 붉은 부분 까지도 전부 딱딱하고 안에 뭔가가 있습니다.. 털 때문에 잘 보이지는 않지만 커지는 속도가 굉장히 빠릅니다.. 총 동물병원 두곳을 갔는데.. 한분은 단순 종양으로 보시고 이것저것 검사를 권하시는데 검사 비용만해도 수술비에 가깝고.. 수술하게 되면 사망 가능성을 동의하에 진행해야 한답니다.. 그래서 의사분이시니 경험도 많으실거고 대충 이런 경우면 강아지에게 통증이 있는건지.. 위험한건지 통증이 없다면 수술이 필요없는건지 물어봤지만 검사를 안하면 모른다고 아무런 답변을 못들었습니다.. 그래서 두번째 병원에 방문 했는데 그곳에서는 종양과 암으로 의심된다고.. 너무 나이가 많아서 수술하기도 힘들고 수술해도 산다는 보장도 없고 강아지가 고통스러워 하는거 아니면 그냥 지켜보라네요.. 약이나 주사 처방이라도 해달라고 했는데.. 암세포는 약이 안듣는다며 의미가 없다고 합니다... 밥은 잘먹지만 항상 누워만 잇구요 물을 굉장히 자주 오래 먹습니다.. 자주 멍때리거나 가끔 걷다가 넘어질때도 잇구요 쓰다듬으려고 하면 깜짝 놀라면서 싫은티를 냅니다... 주인 외에 지인들이 가까이 다가만 가도 으르렁 거리구요.... 전에는 사람을 너무 좋아했는데 힘도 없고.. 이상 증세들이 많이 보여서 너무 걱정됩니다.. 두번째 의사분 말씀대로 수술이 많이 위험할거 같은데.. 첫번째 의사분도 장담 못했구요.. 혹시 증상이나 저희 강아지 사진만 보시고 대략 어떤 상태인지 알 수 잇을까요?! 귀도 잘 안들리고 백내장도 왓구요.. 가장 중요한... 저희 강아지가 고통을 느끼고 잇는건지 제일 궁금합니다... 항상 낑낑 거리며 울기는 하는데.. 애기때 부터 울던 버릇이라.. 병원에서도 그냥 그러는 거라고 하셨거든요.. 근데 혹시 이번같은 경우는 아파서 그러는건지... 정말 너무 걱정되서 미치겠습니다.. 강아지가 어렸다면 당장 수술이라도 할텐다 그러다 잘못될까봐 두렵고 그렇다고 혹시 고통 스러운건 아닌지 너무 괴롭습니다:. 제발 저희 강아지 상태를 봐주시고 대략이라도 어떤 결정을 내려야 하는지 조언 부탁드립니다..,중성화 수술과 유선종양 수술을 왜 안했는지...... 이제와서 후회한 들 무슨 의미가 있겠습니까?  후회없는 선택을 하시려면  최소한 애가 어느 정도 몸상태인지는 알고 넘어가시는게 나을 겁니다. 저는 고민없이 첫번째 동물병원 수의사 선생님의 의견을 꼽겠습니다.  단순히 수술을 할 수 있고 없고의 문제가 아닙니다. 몸상태가 불량하고 불안정하다면 당연히 수술을 하면 안되죠. 수술을 하고 안하고는 수의사와 보호자분께서 결정하실 문제입니다.  그보다 우선 아이가 현재 겪고 있는 상황을 제대로 파악하고  앞으로 닥칠 수 있는 난관이 뭔지를 알려면... 전신 종합검진을 해야 알 수 있습니다. 그래야 적어도 마음의 준비는 할 수 있는 겁니다.  검사비용이 수술비용만큼 나온다고 주저하신다면..... 16년동안 아이를 돌봐오신게 아니라 방치하신 것과 마찬가지입니다.  내 가족 형제가 몸이 불편할때 치료는 제때 못해주더라도....... 어디가 어떻게 얼마나 아픈지는 알아야 주위사람들의 마음이 편해지는 겁니다.  감사합니다. 안녕히 계세요,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=299830822
",강아지/종양/악성종양 의심
9422,너무 급합니다.ㅠㅠ 새벽까지만해도 건강하던 아이가 아침이 되고 나서 주변에 피와 배설물과 함께 이상한 혹이 났습니다. 수술한다면 비용은 얼마가 들고 이것이 무엇인지 알려주신다면 감사드립니다.,"자궁탈 / 직장탈이 의심됩니다. 사진이 명확하지 않아서 정확한 구조가 분간되지 않네요.  응급한 상황이므로 빨리 수술해야 하구요.  주위에 동물병원이 없다면, 거점지역에서 가장 큰 병원을 알아보셔야 할 수도 있습니다. 빠른 시간내에 수술하지 못하면, 나중에 배변 실금 및 감염 / 염증으로 예후가 불량할 수 있습니다.  늦지않게 적절한 대처를 해주실 수 있기를 바랍니다. 큰 문제없이 빠르고 정확한 진단과 효과적인 처치를 통해 근심이 해결될 수 있기를 기원합니다.  감사합니다. 안녕히 계세요","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=289938920
",반려동물/내과질환/혹 (종류 불분명)
5420,강아지 뇌진탕 질문 강아지가 갑자기 누워서 일어나지도 못하고 눈도 잘 못뜨고 그래서 병원에 가봤더니 뇌진탕이라고 해서 주사만 맞고 집에 왔습니다.  1. 음식이나 물을 먹여도 되나요?  2. 자꾸 피똥이 아니라 피 자체를 싸는데 병원에서 항문에 체온계를 집어넣고 빼서 그런건가요 아니면 다른 문제 인가요?  3. 앞도 안보이고 귀도 안들리는거 같은데 뇌진탕과 다른 문제인가요?  4. 자꾸 물만 먹고 물이랑 점액같은 토를 하는데 뭔가요?  5. 물 그릇에 발을 담갔다가 뺐다가 하는데 자제시켜야하나요?,". 음식이나 물을 먹여도 되나요?    - 의식이 뚜렷하고 연하가 가능하다면 주셔도 됩니다. 2. 자꾸 피똥이 아니라 피 자체를 싸는데      병원에서 항문에 체온계를 집어넣고 빼서 그런건가요 아니면 다른 문제 인가요?    - 체온계를 집어넣었다고 피가 나올 정도라면.....      저희 병원은 온통 피바다일 겁니다.      거의 20마리 정도가 입원해 있는 병원이거든요.    - 체온계와는 전혀 관계가 없습니다.    - 항문에서 완전 선혈(생피)이 나온다면....      대장, 상하행 결장, 항문주위의 출혈을 의미합니다.      출혈의 원인을 찾아야 할겁니다. 3. 앞도 안보이고 귀도 안들리는거 같은데 뇌진탕과 다른 문제인가요?    - 신경계 검사를 해봐야 알겠지만,      전신 컨디션이 저하되면 이러한 반응이 떨어질 수 있습니다.    - MRI 및 CT 촬영을 고려해 봐야 할 것같네요. 4. 자꾸 물만 먹고 물이랑 점액같은 토를 하는데 뭔가요?    - 뇌진탕과 연관성은 없어 보이며,      이정도면 빨리 동물병원 수의사 선생님과 진료상담 및 소화기 관련 검사를 받아봐야 할 것같네요.    - 해당 동물병원에서 주사처치외에 해줄 수 있는게 없다면,      24시간 응급 / 입원처치가 가능한 동물병원으로 아이를 옮기시는게 추천됩니다.      좀더 적극적인 검사와 처치가 필요합니다. 5. 물 그릇에 발을 담갔다가 뺐다가 하는데 자제시켜야하나요?    - 뇌진탕과 발을 담갔다가 빼는 것은 인과관계가 없을 듯합니다. 결론, 빨리 큰 병원 데려가 보세요. 별로 좋아보이질않네요. 시간이 지체되면 예후가 불량할 수 있습니다. 감사합니다. 안녕히 계세요","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=359608553
","강아지/뇌진탕

1. 음식이나 물을 먹여도 되나요? 
2. 자꾸 피똥이 아니라 피 자체를 싸는데 병원에서 항문에 체온계를 집어넣고 빼서 그런건가요 아니면 다른 문제 인가요?
3. 앞도 안보이고 귀도 안들리는거 같은데 뇌진탕과 다른 문제인가요? 
4. 자꾸 물만 먹고 물이랑 점액같은 토를 하는데 뭔가요? 
5. 물 그릇에 발을 담갔다가 뺐다가 하는데 자제시켜야하나요?"
927,강아지 앞발 뒤에 혹같은 게 양발 모두에 있어요. 문제가 있는 걸까요? , 곁발굽이라 하며 퇴화하여 흔적만 남은 발굽으로 정상적인 소견이니 너무 걱정하지 않으셔도 됩니다.,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=381485783
",강아지/피부질환/혹
1751,강아지 오줌에서 피가 나왔어요 7년된 중성화시킨 수컷 말티즈 (7kg)인데 잠깐 나갔다온사이에 배변패드에 오줌과 피가 함께 있고 바닥에 피가 몇방울 떨어져있었어요 왜그런지 알 수 있을가요,강아지 혈뇨의 원인은 너무나 다양합니다. 일반적으로 종양을 비롯해 비뇨기계 염증이나 결석 등의 원인으로 발생합니다. 그리고 용혈로 인한 혈색소뇨의 감별진단도 반드시 필요합니다. 병원에서 정확한 진단과 처치 받아보시길 권해드립니다.,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=349711161
",강아지/비뇨계질환/요관염
15568,제가 먹다가 뱉어논 청포도껍질?한알을 푸들8개월정도된 강아지가 먹었는데 괜찮을까요?? 집에지금아무도없어서 도움청할때가없어요ㅠㅠㅠㅠ ,"강아지 관리 때문에 걱정이 많으시죠? 포도를 섭취 하였을 경우 포도중독이 일어날 수 있습니다. 주된 증상은 구토,기력저하,설사 등의 증상이 나올수 있고, 간혹 응급상황이 생길수도 있습니다. 이상증상이 있는지 잘 지켜 보시고 가급적 빨리 동물병원에 가셔서 적절한 검사와 진료를 받아 보시는 것을 권해 드립니다. 강아지의 건강을 기원 합니다. 감사 합니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=299327772
",강아지/위장관질환/섭취한 음식물에 대한 건강 문제
20759,개가 심장사상충에 걸려 식욕이 없습니다. 밥을 어떻게 먹이죠? 진돗개 8살이구요 며칠간 피오줌싸더니 아예소변을 못누길래 병원데리고가봤더니 전립선이부어서 방광이차서 요독증증세까지 왔다하더라고요 신부전증도 오고 신장이거의 망가졌대요 며칠간 탈수증상이있는지 물만먹고(물은굉장히 잘먹어요!) 밥은아예 먹지도 않습니다. 사료랑 닭가슴살 등등 죽처럼갈아서 입에억지로 넣어주고있긴 한데.. 이렇게 안먹으면 아무리 식욕이없다지만 너무 배고파서라도 먹지않나요?지금 거의 5일 되는거같은데.. 먹은게없으니 똥도 못싸고..  식욕을 회복시키려면 어떻게 해야 하나요? 그리고 지금 요도에 억지로 카테타 꽂아서 오줌빼내고있거든요 (피랑섞인오줌)  제가 청소해주면서 피랑섞인 오줌도 손으로 만지게되는데 사람한테 옮고 그런건 아니죠?  개가 아픈 티를 안내서 고통을 잘 모르는데 얼마나 고통을 느끼나요?," 질문하신 내용 잘 보았습니다. 심장사상충 감염에 의한 혈뇨(피오줌), 전립선비대에 의한 배뇨장애(배뇨 장애는 요독증을 일으킬 수 있습니다), 신부전에 의한 요독증(신장이 거의 망가졌다는 것은 신부전 말기 진단을 받은 건가요?) 등의 증상을 보이고 있는 것인가요? 그렇다면, 매우 힘든 상황입니다. 몇가지 정보를 토대로 제가 드리는 어설픈 조언보다는 환자의 모든 상태를 정확히 알고 있는 주치의 선생님의 처방을 따르는 것이 최선일 듯 합니다. 별 도움이 되드리질 못해서 죄송합니다. 감사합니다.   ","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=213033273
","개/내분비질환/전립선비대증,식도장애,탈수증상"
